,DayOfWeek,Date,Time,PdDistrict,Resolution,X,Y,Supervisor District,General Type,Distance,School Type,Sample num,Descript
184,Tuesday,Winter,23,TENDERLOIN,"ARREST, BOOKED",-122.416893710739,37.7842860480389,6,CDC,far,Pre-School,265,2
26453,Tuesday,Fall,14,INGLESIDE,"ARREST, CITED",-122.439724630651,37.7355328423403,8,CDC,very close,Pre-School,37783,0
16221,Sunday,Summer,9,MISSION,"ARREST, BOOKED",-122.42238859985201,37.7648319521443,8,IND,far,Primary School,23315,1
1172,Tuesday,Summer,3,TENDERLOIN,"ARREST, BOOKED",-122.412784096502,37.78486569395261,6,CDC,close,Pre-School,1639,1
1218,Sunday,Summer,19,INGLESIDE,"ARREST, BOOKED",-122.42446746767,37.7360604757326,8,CDC,very close,Pre-School,1703,2
10745,Monday,Summer,12,TENDERLOIN,"ARREST, BOOKED",-122.415694922134,37.7825851968467,6,CDC,close,Pre-School,15488,1
8958,Friday,Winter,7,SOUTHERN,"ARREST, BOOKED",-122.41431785788099,37.7799444052046,6,CC,very close,College,12884,4
8934,Tuesday,Fall,2,RICHMOND,"ARREST, BOOKED",-122.46374207011999,37.7744829292216,1,CDC,close,Pre-School,12849,2
22334,Tuesday,Winter,21,SOUTHERN,"ARREST, BOOKED",-122.408953598279,37.783287873572,6,IND,far,Primary School,31986,0
16994,Thursday,Winter,22,SOUTHERN,"ARREST, BOOKED",-122.411609760643,37.7762209908405,6,CDC,very close,Pre-School,24428,2
8278,Friday,Fall,13,TENDERLOIN,NONE,-122.412224164736,37.7820729312029,6,PS,very close,High School,11952,3
25017,Wednesday,Summer,19,TENDERLOIN,"ARREST, BOOKED",-122.416893710739,37.7842860480389,6,CDC,far,Pre-School,35749,1
23957,Thursday,Winter,12,INGLESIDE,JUVENILE BOOKED,-122.451163989719,37.7455640062989,8,PS,far,High School,34261,0
27174,Wednesday,Spring,15,PARK,"ARREST, BOOKED",-122.452706340322,37.769215670589396,5,IND,close,High School,38809,0
14590,Monday,Fall,14,NORTHERN,JUVENILE BOOKED,-122.428104235503,37.7771774966705,5,IND,far,Primary School,21004,1
13028,Thursday,Winter,18,SOUTHERN,"ARREST, BOOKED",-122.411979487494,37.7809039696758,6,IND,close,Primary School,18806,0
22830,Tuesday,Fall,21,NORTHERN,"ARREST, CITED",-122.41846774793801,37.787965256956795,3,PS,close,Primary School,32667,0
6182,Monday,Winter,13,INGLESIDE,NONE,-122.43848617653,37.7354955860623,8,IND,close,Primary School,8919,0
25362,Tuesday,Fall,14,BAYVIEW,"ARREST, BOOKED",-122.390965298144,37.7344291807899,10,PS,far,Primary School,36235,0
4232,Thursday,Fall,22,TARAVAL,"ARREST, BOOKED",-122.481051497493,37.7418600918147,4,CDC,close,Pre-School,5994,2
14566,Tuesday,Winter,18,TENDERLOIN,"ARREST, BOOKED",-122.407244087032,37.7865647607685,6,CC,very far,College,20970,1
25164,Friday,Fall,16,SOUTHERN,"ARREST, BOOKED",-122.40787711735202,37.7803875013555,6,IND,very far,Pre-School,35964,1
20074,Wednesday,Spring,12,MISSION,"ARREST, BOOKED",-122.41965834371,37.7642205603745,9,PS,far,Primary School,28844,1
1101,Friday,Spring,18,CENTRAL,"ARREST, BOOKED",-122.40937348990101,37.8013694186977,3,IND,very close,Primary School,1538,0
8655,Saturday,Winter,13,NORTHERN,"ARREST, BOOKED",-122.42899190633699,37.773245865199,5,PS,very close,Primary School,12473,1
10849,Monday,Spring,11,TENDERLOIN,"ARREST, BOOKED",-122.41431222924,37.77983391835871,6,CC,very close,College,15634,1
18902,Monday,Spring,0,SOUTHERN,"ARREST, BOOKED",-122.40816295386401,37.780534538504895,6,IND,very far,Pre-School,27145,1
8724,Thursday,Fall,14,TENDERLOIN,"ARREST, BOOKED",-122.410689907787,37.7824948907735,6,IND,close,Primary School,12575,1
22341,Tuesday,Fall,23,TENDERLOIN,"ARREST, BOOKED",-122.410689907787,37.7824948907735,6,IND,close,Primary School,31997,0
20104,Monday,Summer,17,SOUTHERN,"ARREST, BOOKED",-122.41133956255699,37.7812707434494,6,IND,close,Primary School,28894,1
2337,Saturday,Winter,10,CENTRAL,"ARREST, CITED",-122.404080212938,37.7996558407645,3,CDC,close,Pre-School,3288,0
530,Friday,Winter,8,MISSION,"ARREST, BOOKED",-122.41718044863501,37.76196742181021,9,IND,very close,Primary School,766,0
9286,Tuesday,Summer,15,SOUTHERN,"ARREST, BOOKED",-122.40340479147899,37.775420706711,6,PS,far,High School,13361,1
29592,Saturday,Fall,14,TENDERLOIN,"ARREST, BOOKED",-122.413631253258,37.7848053746211,6,CDC,close,Pre-School,42244,1
16247,Monday,Spring,13,PARK,"ARREST, BOOKED",-122.45512727517,37.7695200227183,5,IND,far,High School,23356,0
5558,Thursday,Spring,19,INGLESIDE,NONE,-122.453725754435,37.7442209162424,7,IND,far,Primary School,8057,5
12249,Sunday,Winter,23,TENDERLOIN,"ARREST, BOOKED",-122.413609328985,37.784696907904,6,CDC,very close,Pre-School,17666,1
16528,Tuesday,Fall,23,MISSION,"ARREST, BOOKED",-122.41965834371,37.7642205603745,9,PS,far,Primary School,23730,4
16608,Friday,Summer,16,TENDERLOIN,"ARREST, BOOKED",-122.41708535742399,37.7852153590471,6,CDC,very far,Pre-School,23854,1
22721,Tuesday,Summer,8,TENDERLOIN,"ARREST, BOOKED",-122.411965795229,37.78491418595621,6,CDC,very close,Pre-School,32516,1
28947,Friday,Spring,14,TENDERLOIN,"ARREST, BOOKED",-122.41241426358101,37.7830037964534,6,IND,very close,Primary School,41315,1
7561,Thursday,Summer,15,SOUTHERN,"ARREST, BOOKED",-122.411071423064,37.7817511307229,6,PS,close,High School,10936,0
10756,Wednesday,Summer,11,TENDERLOIN,JUVENILE BOOKED,-122.41126513684999,37.782139268152214,6,PS,close,High School,15505,1
25358,Wednesday,Fall,15,TARAVAL,"ARREST, BOOKED",-122.502602943274,37.7511597552502,4,PS,very far,Primary School,36229,2
15273,Saturday,Winter,21,TENDERLOIN,"ARREST, BOOKED",-122.415885065788,37.783516056415294,6,CDC,close,Pre-School,21934,1
